Regions,env_exp_2001,env_exp_2018
Portugal,7.9,8.3
Continente,7.8,8.2
Norte,5.9,7.1
Alto Minho,4.9,5.3
Arcos de Valdevez,6.3,5.3
Caminha,12.8,3.8
Melgaço,2.3,2.7
Monção,2.8,5.6
Paredes de Coura,6.0,4.9
Ponte da Barca,5.2,3.5
Ponte de Lima,11.6,4.8
Valença,6.4,6.3
Viana do Castelo,0.0,6.8
Vila Nova de Cerveira,2.7,4.6
Cávado,6.2,4.9
Amares,9.4,4.1
Barcelos,9.5,7.7
Braga,1.6,2.0
Esposende,14.7,12.3
Terras de Bouro,7.3,5.6
Vila Verde,4.5,3.9
Ave,-,6.3
Cabeceiras de Basto,3.3,6.3
Fafe,3.9,5.2
Guimarães,5.3,6.4
Mondim de Basto,2.7,5.9
Póvoa de Lanhoso,3.0,3.6
Vieira do Minho,0.8,8.4
Vila Nova de Famalicão,6.7,6.8
Vizela,3.8,8.6
Área Metropolitana do Porto,-,8.9
Arouca,4.2,9.9
Espinho,11.9,5.5
Gondomar,9.7,14.7
Maia,7.9,6.4
Matosinhos,5.2,11.0
Oliveira de Azeméis,5.6,7.2
Paredes,4.5,4.4
Porto,5.9,8.5
Póvoa de Varzim,11.4,11.7
Santa Maria da Feira,2.0,7.5
Santo Tirso,4.0,8.1
São João da Madeira,11.3,9.6
Trofa,7.4,6.2
Vale de Cambra,5.4,7.0
Valongo,7.3,11.7
Vila do Conde,8.4,13.5
Vila Nova de Gaia,4.9,5.2
Alto Tâmega,-,4.0
Boticas,11.4,4.4
Chaves,5.0,5.3
Montalegre,3.5,3.1
Ribeira de Pena,5.0,5.0
Valpaços,6.2,3.1
Vila Pouca de Aguiar,3.6,2.6
Tâmega e Sousa,-,6.5
Amarante,8.8,4.7
Baião,2.9,8.6
Castelo de Paiva,2.2,7.0
Celorico de Basto,4.4,5.0
Cinfães,1.2,3.7
Felgueiras,8.2,6.7
Lousada,7.1,6.2
Marco de Canaveses,12.6,10.7
Paços de Ferreira,7.9,5.8
Penafiel,5.4,7.2
Resende,8.1,4.1
Douro,-,5.4
Alijó,3.7,7.2
Armamar,2.8,5.7
Carrazeda de Ansiães,3.4,2.7
Freixo de Espada à Cinta,1.5,8.2
Lamego,10.6,7.7
Mesão Frio,7.0,8.2
Moimenta da Beira,5.0,4.9
Murça,8.8,5.4
Penedono,1.0,6.7
Peso da Régua,6.0,4.9
Sabrosa,10.6,10.4
Santa Marta de Penaguião,2.9,3.8
São João da Pesqueira,2.8,1.6
Sernancelhe,1.3,2.5
Tabuaço,6.3,6.2
Tarouca,9.1,4.9
Torre de Moncorvo,4.3,6.1
Vila Nova de Foz Côa,2.7,4.4
Vila Real,4.8,4.0
Terras de Trás-os-Montes,-,7.8
Alfândega da Fé,4.3,5.6
Bragança,4.9,9.3
Macedo de Cavaleiros,5.0,9.8
Miranda do Douro,4.6,6.6
Mirandela,6.4,6.7
Mogadouro,6.4,8.5
Vila Flor,3.8,5.8
Vimioso,4.0,6.4
Vinhais,2.5,7.8
Centro,8.7,7.8
Oeste,8.1,7.4
Alcobaça,4.5,13.1
Alenquer,13.6,9.3
Arruda dos Vinhos,3.6,4.9
Bombarral,6.2,7.0
Cadaval,8.7,2.5
Caldas da Rainha,3.5,6.7
Lourinhã,5.9,6.5
Nazaré,15.4,2.1
Óbidos,7.5,4.4
Peniche,8.3,10.2
Sobral de Monte Agraço,9.5,8.0
Torres Vedras,9.6,6.9
Região de Aveiro,-,8.6
Águeda,6.6,7.9
Albergaria-a-Velha,8.3,4.6
Anadia,9.2,6.6
Aveiro,3.5,8.1
Estarreja,19.5,8.7
Ílhavo,17.0,11.2
Murtosa,10.6,7.9
Oliveira do Bairro,16.9,4.1
Ovar,11.6,15.9
Sever do Vouga,2.3,9.7
Vagos,2.6,5.8
Região de Coimbra,-,8.0
Arganil,5.2,7.7
Cantanhede,15.6,3.0
Coimbra,13.0,6.6
Condeixa-a-Nova,20.5,7.3
Figueira da Foz,17.8,12.4
Góis,5.6,14.2
Lousã,12.8,16.9
Mealhada,9.9,4.0
Mira,5.3,6.7
Miranda do Corvo,6.0,6.0
Montemor-o-Velho,27.9,6.8
Mortágua,6.9,8.7
Oliveira do Hospital,6.7,7.7
Pampilhosa da Serra,3.0,4.8
Penacova,3.5,6.7
Penela,11.1,14.4
Soure,13.6,9.8
Tábua,8.0,4.0
Vila Nova de Poiares,12.8,8.9
Região de Leiria,-,8.3
Alvaiázere,6.9,9.0
Ansião,4.0,4.2
Batalha,12.9,6.9
Castanheira de Pêra,4.2,3.1
Figueiró dos Vinhos,8.3,3.8
Leiria,9.0,11.6
Marinha Grande,6.5,10.5
Pedrógão Grande,3.1,2.8
Pombal,10.2,5.8
Porto de Mós,8.3,7.1
Viseu Dão Lafões,-,9.3
Aguiar da Beira,4.7,3.8
Carregal do Sal,14.1,7.5
Castro Daire,3.9,6.6
Mangualde,10.7,6.8
Nelas,8.2,4.8
Oliveira de Frades,9.0,5.7
Penalva do Castelo,7.8,4.1
Santa Comba Dão,9.2,8.7
São Pedro do Sul,1.4,7.1
Sátão,4.4,8.3
Tondela,8.6,6.7
Vila Nova de Paiva,6.3,6.7
Viseu,5.8,16.5
Vouzela,5.9,6.0
Beira Baixa,-,3.7
Castelo Branco,1.0,1.2
Idanha-a-Nova,10.1,4.2
Oleiros,4.6,6.0
Penamacor,5.9,5.3
Proença-a-Nova,7.0,7.4
Vila Velha de Ródão,8.8,4.1
Médio Tejo,-,8.4
Abrantes,11.0,3.2
Alcanena,11.6,13.8
Constância,4.6,10.8
Entroncamento,6.4,4.8
Ferreira do Zêzere,5.0,6.8
Mação,5.2,8.5
Ourém,12.1,9.5
Sardoal,7.6,15.9
Sertã,4.3,10.0
Tomar,4.8,6.0
Torres Novas,6.8,12.1
Vila de Rei,3.4,9.1
Vila Nova da Barquinha,8.7,7.9
Beiras e Serra da Estrela,-,6.4
Almeida,6.7,7.8
Belmonte,3.9,7.5
Celorico da Beira,1.6,1.9
Covilhã,3.8,0.5
Figueira de Castelo Rodrigo,7.9,6.0
Fornos de Algodres,2.1,4.3
Fundão,9.2,8.1
Gouveia,3.0,11.2
Guarda,4.4,8.3
Manteigas,4.6,4.4
Mêda,3.1,3.4
Pinhel,8.2,6.3
Sabugal,6.9,8.5
Seia,11.9,14.2
Trancoso,7.4,4.6
Área Metropolitana de Lisboa,8.2,9.9
Área Metropolitana de Lisboa,8.2,9.9
Alcochete,11.0,4.2
Almada,3.5,14.8
Amadora,7.1,12.6
Barreiro,7.0,7.8
Cascais,1.5,20.5
Lisboa,8.7,7.8
Loures,6.9,9.2
Mafra,13.3,11.0
Moita,9.2,10.3
Montijo,8.1,8.6
Odivelas,5.6,2.1
Oeiras,4.7,9.6
Palmela,7.5,9.4
Seixal,7.4,7.0
Sesimbra,19.4,15.6
Setúbal,25.6,11.3
Sintra,5.2,11.9
Vila Franca de Xira,5.7,4.9
Alentejo,6.5,7.6
Alentejo Litoral,9.1,6.6
Alcácer do Sal,12.4,8.1
Grândola,5.1,5.1
Odemira,7.9,6.7
Santiago do Cacém,15.5,8.9
Sines,4.4,4.1
Baixo Alentejo,4.8,7.0
Aljustrel,2.6,13.1
Almodôvar,5.9,5.8
Alvito,7.1,2.8
Barrancos,3.8,8.2
Beja,3.9,10.4
Castro Verde,2.5,5.3
Cuba,4.8,5.3
Ferreira do Alentejo,5.3,5.6
Mértola,6.7,4.7
Moura,8.2,6.3
Ourique,0.9,7.2
Serpa,4.5,5.1
Vidigueira,7.2,6.8
Lezíria do Tejo,7.7,10.3
Almeirim,5.7,8.3
Alpiarça,3.1,24.3
Azambuja,12.1,7.2
Benavente,9.0,12.0
Cartaxo,11.1,13.1
Chamusca,4.8,8.0
Coruche,5.4,8.4
Golegã,9.3,12.9
Rio Maior,8.3,4.5
Salvaterra de Magos,12.0,9.2
Santarém,6.1,13.2
Alto Alentejo,-,7.5
Alter do Chão,9.9,6.9
Arronches,3.2,5.2
Avis,1.8,4.9
Campo Maior,7.3,8.3
Castelo de Vide,9.3,8.3
Crato,7.2,4.4
Elvas,4.5,6.7
Fronteira,2.0,6.3
Gavião,12.5,8.1
Marvão,2.3,3.5
Monforte,1.5,5.3
Nisa,4.7,11.3
Ponte de Sor,2.0,7.7
Portalegre,5.6,11.7
Sousel,1.1,6.5
Alentejo Central,-,6.2
Alandroal,5.2,3.5
Arraiolos,2.9,5.1
Borba,5.9,6.7
Estremoz,11.9,5.4
Évora,5.2,7.6
Montemor-o-Novo,5.9,6.3
Mora,7.8,4.6
Mourão,0.0,9.6
Portel,12.1,5.9
Redondo,1.3,5.2
Reguengos de Monsaraz,2.1,4.5
Vendas Novas,12.6,9.0
Viana do Alentejo,6.8,2.6
Vila Viçosa,6.5,9.9
Algarve,15.3,9.0
Algarve,15.3,9.0
Albufeira,21.9,10.1
Alcoutim,9.0,3.3
Aljezur,10.0,8.2
Castro Marim,2.0,7.9
Faro,7.3,4.1
Lagoa,12.1,10.1
Lagos,27.0,8.8
Loulé,14.7,11.0
Monchique,11.1,15.1
Olhão,22.4,11.8
Portimão,13.7,2.5
São Brás de Alportel,9.7,13.8
Silves,12.4,10.7
Tavira,8.9,6.2
Vila do Bispo,13.9,7.5
Vila Real de Santo António,25.8,8.5
Região Autónoma dos Açores,5.5,6.5
Região Autónoma dos Açores,5.5,6.5
Ilha de Santa Maria,1.6,3.3
Vila do Porto,1.6,3.3
Ilha de São Miguel,8.6,8.0
Lagoa [R.A.A.],10.3,6.2
Nordeste,12.4,4.6
Ponta Delgada,10.2,11.3
Povoação,6.6,1.8
Ribeira Grande,6.2,5.8
Vila Franca do Campo,4.6,6.7
Ilha Terceira,1.8,3.6
Angra do Heroísmo,3.0,3.2
Vila da Praia da Vitória,0.2,4.1
Ilha Graciosa,26.9,4.4
Santa Cruz da Graciosa,26.9,4.4
Ilha de São Jorge,3.5,4.8
Calheta [R.A.A.],4.2,1.6
Velas,3.0,7.3
Ilha do Pico,1.2,4.3
Lajes do Pico,2.5,5.1
Madalena,0.5,3.0
São Roque do Pico,0.3,5.4
Ilha do Faial,5.6,11.9
Horta,5.6,11.9
Ilha das Flores,0.8,4.4
Lajes das Flores,0.0,4.1
Santa Cruz das Flores,2.6,4.6
Ilha do Corvo,1.3,1.9
Corvo,1.3,1.9
Região Autónoma da Madeira,11.5,13.9
Região Autónoma da Madeira,11.5,13.9
Ilha da Madeira,11.7,14.2
Calheta [R.A.M.],2.4,9.0
Câmara de Lobos,10.9,8.2
Funchal,14.2,18.3
Machico,11.4,10.4
Ponta do Sol,4.4,11.1
Porto Moniz,3.3,5.5
Ribeira Brava,2.5,6.7
Santa Cruz,39.6,18.4
Santana,3.3,2.6
São Vicente,5.0,10.8
Ilha de Porto Santo,8.0,5.6
Porto Santo,8.0,5.6
