,Categoria criminologa,Sottocategoria Criminologica,Circoscrizione,Localita,Area Verde,Data,Ora
442,Convivenza Civile,Disturbi da locali,1.0,DES AMBROIS/LUIGI (VIA)                                               ,,2018-01-02,12.03
443,Convivenza Civile,Disturbi da locali,3.0,REVELLO/(VIA)                                                         ,,2018-05-02,
444,Convivenza Civile,Disturbi da locali,8.0,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,2018-05-02,11.35
445,Convivenza Civile,Disturbi da locali,5.0,FOLIGNO/(VIA)                                                         ,,2018-07-02,
446,Convivenza Civile,Disturbi da locali,1.0,PRINCIPE AMEDEO/(VIA)                                                 ,,2018-08-02,
447,Convivenza Civile,Disturbi da locali,8.0,THOVEZ/ENRICO (VIALE)                                                 ,,2018-02-14,
448,Convivenza Civile,Disturbi da locali,5.0,LOMBARDIA/(CORSO)                                                     ,,2018-02-15,
449,Convivenza Civile,Disturbi da locali,1.0,PESCATORE/MATTEO (VIA)                                                ,,2018-02-20,
450,Convivenza Civile,Disturbi da locali,1.0,ORFANE/(VIA DELLE)                                                    ,,2018-02-23,11.07
451,Convivenza Civile,Disturbi da locali,7.0,BALBO/CESARE (VIA)                                                    ,,2018-05-03,8.46
452,Convivenza Civile,Disturbi da locali,7.0,VERCELLI/(CORSO)                                                      ,,2018-03-13,8.04
453,Convivenza Civile,Disturbi da locali,6.0,NOVARA/(CORSO)                                                        ,,2018-03-15,7.18
454,Convivenza Civile,Disturbi da locali,7.0,BORGO DORA/(VIA)                                                      ,,2018-03-15,11.36
455,Convivenza Civile,Disturbi da locali,2.0,BASILICATA/(PIAZZA)                                                   ,,2018-03-19,
456,Convivenza Civile,Disturbi da locali,8.0,FOSCOLO/UGO (VIA)                                                     ,,2018-03-22,9.35
457,Convivenza Civile,Disturbi da locali,8.0,GRAN MADRE DI DIO/(PIAZZA)                                            ,,2018-03-24,
458,Convivenza Civile,Disturbi da locali,8.0,MONCALIERI/(CORSO)                                                    ,,2018-03-24,
459,Convivenza Civile,Disturbi da locali,8.0,MONCALIERI/(CORSO)                                                    ,,2018-03-24,
460,Convivenza Civile,Disturbi da locali,8.0,MONCALIERI/(CORSO)                                                    ,,2018-03-24,
461,Convivenza Civile,Disturbi da locali,8.0,MONCALIERI/(CORSO)                                                    ,,2018-03-24,
462,Convivenza Civile,Disturbi da locali,1.0,PESCATORE/MATTEO (VIA)                                                ,,2018-03-26,10.5
463,Convivenza Civile,Disturbi da locali,4.0,VALGIOIE/(VIA)                                                        ,,2018-03-27,11.45
464,Convivenza Civile,Disturbi da locali,8.0,NIZZA/(VIA)                                                           ,,2018-03-27,15.08
465,Convivenza Civile,Disturbi da locali,3.0,STELVIO/(VIA)                                                         ,,2018-03-29,
466,Convivenza Civile,Disturbi da locali,5.0,LUINI/BERNARDINO (VIA)                                                ,,2018-03-29,10.53
467,Convivenza Civile,Disturbi da locali,7.0,BELGIO/(CORSO)                                                        ,,2018-03-30,
468,Convivenza Civile,Disturbi da locali,7.0,FONTANESI/ANTONIO (VIA)                                               ,,2018-02-04,
469,Convivenza Civile,Disturbi da locali,3.0,FRANCIA/(CORSO)                                                       ,,2018-03-04,
470,Convivenza Civile,Disturbi da locali,7.0,NAPOLI/(LUNGO DORA)                                                   ,,2018-03-04,
471,Convivenza Civile,Disturbi da locali,7.0,S. MAURIZIO/(CORSO)                                                   ,,2018-03-04,
472,Convivenza Civile,Disturbi da locali,8.0,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,2018-03-04,10.47
473,Convivenza Civile,Disturbi da locali,7.0,VIGEVANO/(CORSO)                                                      ,,2018-06-04,12.28
474,Convivenza Civile,Disturbi da locali,3.0,VIRLE/(VIA)                                                           ,,2018-04-14,
475,Convivenza Civile,Disturbi da locali,1.0,SACCHI/PAOLO (VIA)                                                    ,,2018-04-19,
476,Convivenza Civile,Disturbi da locali,1.0,SOMMEILLER/GERMANO (CORSO)                                            ,,2018-04-19,
477,Convivenza Civile,Disturbi da locali,3.0,FATTORI/GIOVANNI (VIA)                                                ,,2018-04-20,
478,Convivenza Civile,Disturbi da locali,6.0,CENA/GIOVANNI (VIA)                                                   ,,2018-04-20,11.41
479,Convivenza Civile,Disturbi da locali,10.0,LOANO/(VIA)                                                           ,,2018-04-21,
480,Convivenza Civile,Disturbi da locali,10.0,FLEMING/ALESSANDRO (VIA)                                              ,,2018-04-22,
481,Convivenza Civile,Disturbi da locali,5.0,FOLIGNO/(VIA)                                                         ,,2018-04-24,
482,Convivenza Civile,Disturbi da locali,1.0,SOLFERINO/(PIAZZA)                                                    ,,2018-04-25,
483,Convivenza Civile,Disturbi da locali,6.0,GIULIO CESARE/(CORSO)                                                 ,,2018-04-26,
484,Convivenza Civile,Disturbi da locali,1.0,S. DOMENICO/(VIA)                                                     ,,2018-04-26,14.32
485,Convivenza Civile,Disturbi da locali,7.0,NIETZSCHE/FEDERICO (VIA)                                              ,,2018-04-27,
486,Convivenza Civile,Disturbi da locali,3.0,FREJUS/(VIA)                                                          ,,2018-04-27,11.23
487,Convivenza Civile,Disturbi da locali,1.0,MERCANTINI/LUIGI (VIA)                                                ,,2018-04-30,
488,Convivenza Civile,Disturbi da locali,3.0,BARGE/(VIA)                                                           ,,2018-02-05,
489,Convivenza Civile,Disturbi da locali,1.0,PO/(VIA)                                                              ,,2018-03-05,11.09
490,Convivenza Civile,Disturbi da locali,1.0,ORFANE/(VIA DELLE)                                                    ,,2018-04-05,
491,Convivenza Civile,Disturbi da locali,3.0,TRECATE/(VIA)                                                         ,,2018-04-05,
492,Convivenza Civile,Disturbi da locali,6.0,BORGO TICINO/(VIA)                                                    ,,2018-07-05,
493,Convivenza Civile,Disturbi da locali,7.0,BRA/(VIA)                                                             ,,2018-07-05,
494,Convivenza Civile,Disturbi da locali,1.0,VERDI/GIUSEPPE (VIA)                                                  ,,2018-09-05,
495,Convivenza Civile,Disturbi da locali,7.0,BALBO/CESARE (VIA)                                                    ,,2018-09-05,
496,Convivenza Civile,Disturbi da locali,9.0,GALIMBERTI/TANCREDI (PIAZZA)                                          ,,2018-10-05,
497,Convivenza Civile,Disturbi da locali,1.0,MONTEBELLO/(VIA)                                                      ,,2018-10-05,9.11
498,Convivenza Civile,Disturbi da locali,1.0,CARIGNANO/(PIAZZA)                                                    ,,2018-10-05,12.59
499,Convivenza Civile,Disturbi da locali,5.0,FOLIGNO/(VIA)                                                         ,,2018-05-14,9.04
500,Convivenza Civile,Disturbi da locali,6.0,FELETTO/(VIA)                                                         ,,2018-05-16,9.13
501,Convivenza Civile,Disturbi da locali,6.0,BRANDIZZO/(VIA)                                                       ,,2018-05-16,9.25
502,Convivenza Civile,Disturbi da locali,4.0,FABRIZI/NICOLA (VIA)                                                  ,,2018-05-19,
503,Convivenza Civile,Disturbi da locali,4.0,RISORGIMENTO/(PIAZZA)                                                 ,,2018-05-19,
504,Convivenza Civile,Disturbi da locali,8.0,S. ANSELMO/(VIA)                                                      ,,2018-05-19,
505,Convivenza Civile,Disturbi da locali,1.0,AMENDOLA/GIOVANNI (VIA)                                               ,,2018-05-21,
506,Convivenza Civile,Disturbi da locali,3.0,VIRLE/(VIA)                                                           ,,2018-05-21,
507,Convivenza Civile,Disturbi da locali,8.0,MONCALIERI/(CORSO)                                                    ,,2018-05-21,12.24
508,Convivenza Civile,Disturbi da locali,1.0,CASTELLO/(PIAZZA)                                                     ,,2018-05-22,12.15
509,Convivenza Civile,Disturbi da locali,1.0,LOVERA DI MARIA/ANNIBALE (VIA)                                        ,,2018-05-24,
510,Convivenza Civile,Disturbi da locali,,,,2018-05-24,10.09
511,Convivenza Civile,Disturbi da locali,1.0,VERDI/GIUSEPPE (VIA)                                                  ,,2018-05-29,
512,Convivenza Civile,Disturbi da locali,9.0,CROCE/BENEDETTO (CORSO)                                               ,,2018-05-29,
513,Convivenza Civile,Disturbi da locali,6.0,AGLIE'/(VIA)                                                          ,,2018-05-31,12.48
514,Convivenza Civile,Disturbi da locali,5.0,MASSARI/GIUSEPPE (VIA)                                                ,,2018-06-06,11.44
515,Convivenza Civile,Disturbi da locali,6.0,FELETTO/(VIA)                                                         ,,2018-07-06,
516,Convivenza Civile,Disturbi da locali,6.0,MONTANARO/(VIA)                                                       ,,2018-07-06,
517,Convivenza Civile,Disturbi da locali,7.0,MANTOVA/(VIA)                                                         ,,2018-08-06,
518,Convivenza Civile,Disturbi da locali,1.0,CADORNA/LUIGI (LUNGO PO)                                              ,,2018-11-06,
519,Convivenza Civile,Disturbi da locali,4.0,FRANCIA/(CORSO)                                                       ,,2018-11-06,
520,Convivenza Civile,Disturbi da locali,7.0,BRESCIA/(CORSO)                                                       ,,2018-11-06,
521,Convivenza Civile,Disturbi da locali,1.0,PESCATORE/MATTEO (VIA)                                                ,,2018-11-06,11.41
522,Convivenza Civile,Disturbi da locali,4.0,TELESIO/BERNARDINO (CORSO)                                            ,,2018-11-06,12.34
523,Convivenza Civile,Disturbi da locali,1.0,BLIGNY/(VIA)                                                          ,,2018-06-13,
524,Convivenza Civile,Disturbi da locali,7.0,FORTINO/(STRADA DEL)                                                  ,,2018-06-17,
525,Convivenza Civile,Disturbi da locali,2.0,MONFALCONE/(VIA)                                                      ,,2018-06-18,
526,Convivenza Civile,Disturbi da locali,1.0,STATI UNITI/(CORSO)                                                   ,,2018-06-19,
527,Convivenza Civile,Disturbi da locali,3.0,RACCONIGI/(CORSO)                                                     ,,2018-06-19,
528,Convivenza Civile,Disturbi da locali,6.0,ROSSI/LAURO (VIA)                                                     ,,2018-06-19,
529,Convivenza Civile,Disturbi da locali,2.0,S. MARINO/(VIA)                                                       ,,2018-06-20,
530,Convivenza Civile,Disturbi da locali,7.0,REGGIO/(VIA)                                                          ,,2018-06-20,
531,Convivenza Civile,Disturbi da locali,1.0,ROSINE/(VIA DELLE)                                                    ,,2018-06-21,
532,Convivenza Civile,Disturbi da locali,5.0,BORGARO/(VIA)                                                         ,,2018-06-21,11.51
533,Convivenza Civile,Disturbi da locali,7.0,BUNIVA/MICHELE (VIA)                                                  ,,2018-06-23,
534,Convivenza Civile,Disturbi da locali,8.0,MARCONI/GUGLIELMO (CORSO)                                             ,,2018-06-23,
535,Convivenza Civile,Disturbi da locali,8.0,MADAMA CRISTINA/(VIA)                                                 ,,2018-06-25,
536,Convivenza Civile,Rumori molesti,1.0,MONTE DI PIETA'/(VIA)                                                 ,,2018-02-01,13.0
537,Convivenza Civile,Rumori molesti,5.0,PETTINENGO/(VIA)                                                      ,,2018-12-01,
538,Convivenza Civile,Rumori molesti,5.0,MOLISE/(CORSO)                                                        ,,2018-01-15,
539,Convivenza Civile,Rumori molesti,8.0,DANTE/(CORSO)                                                         ,,2018-01-15,
540,Convivenza Civile,Rumori molesti,7.0,BOLOGNA/(VIA)                                                         ,,2018-01-17,
541,Convivenza Civile,Rumori molesti,2.0,GORIZIA/(VIA)                                                         ,,2018-01-19,
542,Convivenza Civile,Rumori molesti,5.0,MOSCA/GAETANO (VIA)                                                   ,,2018-01-23,
543,Convivenza Civile,Rumori molesti,3.0,RACCONIGI/(CORSO)                                                     ,,2018-01-24,
544,Convivenza Civile,Rumori molesti,9.0,FILADELFIA/(VIA)                                                      ,,2018-01-25,
545,Convivenza Civile,Rumori molesti,1.0,CARMINE/(VIA DEL)                                                     ,,2018-01-26,
546,Convivenza Civile,Rumori molesti,1.0,MAZZINI/GIUSEPPE (VIA)                                                ,,2018-01-26,
547,Convivenza Civile,Rumori molesti,6.0,BOTTICELLI/SANDRO (VIA)                                               ,,2018-01-02,
548,Convivenza Civile,Rumori molesti,6.0,GOTTARDO/(VIA)                                                        ,,2018-03-02,
549,Convivenza Civile,Rumori molesti,10.0,RISMONDO/FRANCESCO (VIA)                                              ,,2018-05-02,
550,Convivenza Civile,Rumori molesti,10.0,UNIONE SOVIETICA/(CORSO)                                              ,,2018-05-02,
551,Convivenza Civile,Rumori molesti,7.0,BRESCIA/(LARGO)                                                       ,,2018-07-02,
552,Convivenza Civile,Rumori molesti,4.0,SVIZZERA/(CORSO)                                                      ,,2018-08-02,
553,Convivenza Civile,Rumori molesti,9.0,PIO VII/(VIA)                                                         ,,2018-08-02,
554,Convivenza Civile,Rumori molesti,6.0,GIULIO CESARE/(CORSO)                                                 ,,2018-08-02,13.41
555,Convivenza Civile,Rumori molesti,6.0,SOFIA/(PIAZZA)                                                        ,,2018-10-02,
556,Convivenza Civile,Rumori molesti,6.0,CIGNA/FRANCESCO (VIA)                                                 ,,2018-02-13,
557,Convivenza Civile,Rumori molesti,4.0,PIANCERI/(VIA)                                                        ,,2018-02-15,
558,Convivenza Civile,Rumori molesti,1.0,MANZONI/ALESSANDRO (VIA)                                              ,,2018-02-16,
559,Convivenza Civile,Rumori molesti,1.0,GRAMSCI/ANTONIO (VIA)                                                 ,,2018-02-18,
560,Convivenza Civile,Rumori molesti,1.0,SACCHI/PAOLO (VIA)                                                    ,,2018-02-19,
561,Convivenza Civile,Rumori molesti,3.0,MONGINEVRO/(VIA)                                                      ,,2018-02-19,
562,Convivenza Civile,Rumori molesti,3.0,TOLMINO/(VIA)                                                         ,,2018-02-20,
563,Convivenza Civile,Rumori molesti,6.0,PALESTRINA/PIER LUIGI (VIA)                                           ,,2018-02-20,
564,Convivenza Civile,Rumori molesti,7.0,COSSILA/(VIA)                                                         ,,2018-02-22,
565,Convivenza Civile,Rumori molesti,1.0,RE UMBERTO/(CORSO)                                                    ,,2018-02-27,
566,Convivenza Civile,Rumori molesti,1.0,ROERO DI CORTANZE/ERCOLE TOMMASO (VIA)                                ,,2018-01-03,
567,Convivenza Civile,Rumori molesti,3.0,VANDALINO/(VIA)                                                       ,,2018-01-03,
568,Convivenza Civile,Rumori molesti,9.0,TUNISI/(VIA)                                                          ,,2018-01-03,
569,Convivenza Civile,Rumori molesti,6.0,MADDALENE/(VIA)                                                       ,,2018-02-03,
570,Convivenza Civile,Rumori molesti,1.0,BAVA/EUSEBIO (VIA)                                                    ,,2018-11-03,
571,Convivenza Civile,Rumori molesti,4.0,TENIVELLI/CARLO (VIA)                                                 ,,2018-03-14,
572,Convivenza Civile,Rumori molesti,2.0,TEMPIO PAUSANIA/(VIA)                                                 ,,2018-03-15,
573,Convivenza Civile,Rumori molesti,1.0,S. CHIARA/(VIA)                                                       ,,2018-03-16,
574,Convivenza Civile,Rumori molesti,6.0,SETTIMO/(STRADA DI)                                                   ,,2018-03-16,
575,Convivenza Civile,Rumori molesti,10.0,UGOLINI/AMEDEO (VIA)                                                  ,,2018-03-16,
576,Convivenza Civile,Rumori molesti,1.0,BLIGNY/(VIA)                                                          ,,2018-11-04,
577,Convivenza Civile,Rumori molesti,3.0,TRAPANI/(CORSO)                                                       ,,2018-11-04,
578,Convivenza Civile,Rumori molesti,1.0,PRINCIPE AMEDEO/(VIA)                                                 ,,2018-04-13,
579,Convivenza Civile,Rumori molesti,3.0,BARDONECCHIA/(VIA)                                                    ,,2018-04-13,
580,Convivenza Civile,Rumori molesti,7.0,NOVARA/(CORSO)                                                        ,,2018-04-13,
581,Convivenza Civile,Rumori molesti,6.0,TRONZANO/(VIA)                                                        ,,2018-04-17,
582,Convivenza Civile,Rumori molesti,6.0,RESPIGHI/OTTORINO (PIAZZA)                                            ,,2018-04-19,
583,Convivenza Civile,Rumori molesti,1.0,CORTE D'APPELLO/(VIA)                                                 ,,2018-04-19,11.06
584,Convivenza Civile,Rumori molesti,1.0,S. GIOVANNI/(PIAZZA)                                                  ,,2018-04-20,
585,Convivenza Civile,Rumori molesti,3.0,SAGRA DI S. MICHELE/(VIA)                                             ,,2018-04-20,
586,Convivenza Civile,Rumori molesti,1.0,BOGINO/CONTE GIAMBATTISTA (VIA)                                       ,,2018-04-23,
587,Convivenza Civile,Rumori molesti,3.0,BRUNELLESCHI/FILIPPO (CORSO)                                          ,,2018-04-23,
588,Convivenza Civile,Rumori molesti,3.0,MONTE ALBERGIAN/(VIA)                                                 ,,2018-04-23,
589,Convivenza Civile,Rumori molesti,8.0,CANOVA/ANTONIO (VIA)                                                  ,,2018-04-24,
590,Convivenza Civile,Rumori molesti,2.0,S. MARINO/(VIA)                                                       ,,2018-04-27,
591,Convivenza Civile,Rumori molesti,1.0,ROMA/(VIA)                                                            ,,2018-02-05,
592,Convivenza Civile,Rumori molesti,4.0,BELLARDI/LUDOVICO (VIA)                                               ,,2018-02-05,
593,Convivenza Civile,Rumori molesti,7.0,PRINCIPE ODDONE/(CORSO)                                               ,,2018-02-05,
594,Convivenza Civile,Rumori molesti,7.0,CUNEO/(VIA)                                                           ,,2018-03-05,
595,Convivenza Civile,Rumori molesti,5.0,RULFI/MICHELANGELO (VIA)                                              ,,2018-04-05,
596,Convivenza Civile,Rumori molesti,5.0,VAL DELLA TORRE/(VIA)                                                 ,,2018-10-05,
597,Convivenza Civile,Rumori molesti,6.0,QUITTENGO/(VIA)                                                       ,,2018-05-14,
598,Convivenza Civile,Rumori molesti,2.0,SEBASTOPOLI/(CORSO)                                                   ,,2018-05-15,
599,Convivenza Civile,Rumori molesti,6.0,BRANDIZZO/(VIA)                                                       ,,2018-05-16,9.2
600,Convivenza Civile,Rumori molesti,9.0,UNIONE SOVIETICA/(CORSO)                                              ,,2018-05-21,
601,Convivenza Civile,Rumori molesti,7.0,GUASTALLA/(VIA)                                                       ,,2018-05-25,
602,Convivenza Civile,Rumori molesti,7.0,VERONA/(CORSO)                                                        ,,2018-05-25,
603,Convivenza Civile,Rumori molesti,3.0,S. PAOLO/(VIA)                                                        ,,2018-05-28,
604,Convivenza Civile,Rumori molesti,6.0,MONTE ROSA/(VIA)                                                      ,,2018-05-29,
605,Convivenza Civile,Rumori molesti,8.0,NIZZA/(VIA)                                                           ,,2018-05-31,
606,Convivenza Civile,Rumori molesti,9.0,CARDUCCI/GIOSUE' (PIAZZA)                                             ,,2018-06-06,
607,Convivenza Civile,Rumori molesti,1.0,ARCIVESCOVADO/(VIA DELL')                                             ,,2018-07-06,
608,Convivenza Civile,Rumori molesti,7.0,VERCELLI/(CORSO)                                                      ,,2018-07-06,
609,Convivenza Civile,Rumori molesti,8.0,D'AZEGLIO/MASSIMO (CORSO)                                             ,,2018-10-06,
610,Convivenza Civile,Rumori molesti,,,,2018-11-06,
611,Convivenza Civile,Rumori molesti,4.0,COLLEGNO/(STRADA ANTICA DI)                                           ,,2018-11-06,
612,Convivenza Civile,Rumori molesti,3.0,S. GIORGIO CANAVESE/(VIA)                                             ,,2018-12-06,
613,Convivenza Civile,Rumori molesti,4.0,TELESIO/BERNARDINO (CORSO)                                            ,,2018-12-06,
614,Convivenza Civile,Rumori molesti,7.0,S. GIULIA/(VIA)                                                       ,,2018-12-06,
615,Convivenza Civile,Rumori molesti,1.0,CARLO ALBERTO/(VIA)                                                   ,,2018-06-13,
616,Convivenza Civile,Rumori molesti,3.0,ENTRACQUE/(VIA)                                                       ,,2018-06-13,
617,Convivenza Civile,Rumori molesti,4.0,MUSINE'/(VIA)                                                         ,,2018-06-14,
618,Convivenza Civile,Rumori molesti,3.0,SAGRA DI S. MICHELE/(VIA)                                             ,,2018-06-15,
619,Convivenza Civile,Rumori molesti,1.0,PRINCIPE AMEDEO/(VIA)                                                 ,,2018-06-17,
620,Convivenza Civile,Rumori molesti,5.0,CARDINALE MASSAIA/GUGLIELMO (VIA)                                     ,,2018-06-21,
621,Convivenza Civile,Rumori molesti,2.0,CAPRERA/(VIA)                                                         ,,2018-06-25,
622,Convivenza Civile,Rumori molesti,3.0,TRAPANI/(CORSO)                                                       ,,2018-06-25,
623,Convivenza Civile,Rumori molesti,1.0,CONTE VERDE/(VIA)                                                     ,,2018-06-26,
624,Convivenza Civile,Rumori molesti,8.0,DANTE/(CORSO)                                                         ,,2018-06-26,
625,Convivenza Civile,Rumori molesti,6.0,PALERMO/(CORSO)                                                       ,,2018-06-29,
